Year,Elec_Source,Value
1990,Coal,321641
1990,Solar thermal,0
1990,Wind,71
1990,Tide,0
1990,Other sources,0
1990,Oil,10397
1990,Natural gas,40460
1990,Biofuels,376
1990,Waste,4810
1990,Nuclear,152468
1990,Hydro,19791
1990,Geothermal,0
1990,Solar PV,1
1991,Coal,316920
1991,Solar thermal,0
1991,Wind,215
1991,Tide,0
1991,Other sources,0
1991,Oil,14740
1991,Natural gas,36107
1991,Biofuels,655
1991,Waste,5068
1991,Nuclear,147229
1991,Hydro,18699
1991,Geothermal,0
1991,Solar PV,1
1992,Coal,304857
1992,Solar thermal,0
1992,Wind,291
1992,Tide,0
1992,Other sources,0
1992,Oil,13217
1992,Natural gas,32889
1992,Biofuels,781
1992,Waste,5432
1992,Nuclear,158804
1992,Hydro,21195
1992,Geothermal,0
1992,Solar PV,4
1993,Coal,299795
1993,Solar thermal,0
1993,Wind,674
1993,Tide,0
1993,Other sources,0
1993,Oil,10091
1993,Natural gas,34574
1993,Biofuels,762
1993,Waste,5434
1993,Nuclear,153276
1993,Hydro,21667
1993,Geothermal,0
1993,Solar PV,3
1994,Coal,296888
1994,Solar thermal,0
1994,Wind,1428
1994,Tide,0
1994,Other sources,0
1994,Oil,8774
1994,Natural gas,40251
1994,Biofuels,758
1994,Waste,6466
1994,Nuclear,150703
1994,Hydro,23885
1994,Geothermal,0
1994,Solar PV,7
1995,Coal,296365
1995,Solar thermal,0
1995,Wind,1712
1995,Tide,0
1995,Other sources,0
1995,Oil,8983
1995,Natural gas,43180
1995,Biofuels,1085
1995,Waste,6611
1995,Nuclear,153091
1995,Hydro,26250
1995,Geothermal,0
1995,Solar PV,7
1996,Coal,302663
1996,Solar thermal,0
1996,Wind,2078
1996,Tide,0
1996,Other sources,0
1996,Oil,7966
1996,Natural gas,48018
1996,Biofuels,1161
1996,Waste,6820
1996,Nuclear,160016
1996,Hydro,26638
1996,Geothermal,0
1996,Solar PV,12
1997,Coal,292411
1997,Solar thermal,0
1997,Wind,3034
1997,Tide,0
1997,Other sources,0
1997,Oil,6866
1997,Natural gas,49728
1997,Biofuels,1256
1997,Waste,7013
1997,Nuclear,170328
1997,Hydro,20900
1997,Geothermal,0
1997,Solar PV,18
1998,Coal,298945
1998,Solar thermal,0
1998,Wind,4593
1998,Tide,0
1998,Other sources,0
1998,Oil,6376
1998,Natural gas,53830
1998,Biofuels,1440
1998,Waste,8296
1998,Nuclear,161644
1998,Hydro,21234
1998,Geothermal,0
1998,Solar PV,35
1999,Coal,288177
1999,Solar thermal,0
1999,Wind,5528
1999,Tide,0
1999,Other sources,0
1999,Oil,5845
1999,Natural gas,55063
1999,Biofuels,1772
1999,Waste,6479
1999,Nuclear,170004
1999,Hydro,23402
1999,Geothermal,0
1999,Solar PV,30
2000,Coal,304162
2000,Solar thermal,0
2000,Wind,9352
2000,Tide,0
2000,Other sources,0
2000,Oil,4785
2000,Natural gas,52495
2000,Biofuels,2487
2000,Waste,7634
2000,Nuclear,169606
2000,Hydro,25962
2000,Geothermal,0
2000,Solar PV,60
2001,Coal,301647
2001,Solar thermal,0
2001,Wind,10456
2001,Tide,0
2001,Other sources,0
2001,Oil,4758
2001,Natural gas,58430
2001,Biofuels,2731
2001,Waste,9710
2001,Nuclear,171305
2001,Hydro,27253
2001,Geothermal,0
2001,Solar PV,116
2002,Coal,306593
2002,Solar thermal,0
2002,Wind,15856
2002,Tide,0
2002,Other sources,0
2002,Oil,4322
2002,Natural gas,54511
2002,Biofuels,3360
2002,Waste,9158
2002,Nuclear,164842
2002,Hydro,27864
2002,Geothermal,0
2002,Solar PV,188
2003,Coal,314382
2003,Solar thermal,0
2003,Wind,18713
2003,Tide,0
2003,Other sources,2123
2003,Oil,10333
2003,Natural gas,63876
2003,Biofuels,6604
2003,Waste,4478
2003,Nuclear,165060
2003,Hydro,22897
2003,Geothermal,0
2003,Solar PV,313
2004,Coal,308178
2004,Solar thermal,0
2004,Wind,25509
2004,Tide,0
2004,Other sources,2102
2004,Oil,10775
2004,Natural gas,64098
2004,Biofuels,8219
2004,Waste,4506
2004,Nuclear,167065
2004,Hydro,26460
2004,Geothermal,0
2004,Solar PV,557
2005,Coal,297714
2005,Solar thermal,0
2005,Wind,27229
2005,Tide,0
2005,Other sources,3241
2005,Oil,11997
2005,Natural gas,74036
2005,Biofuels,11104
2005,Waste,6504
